PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
1769 yh 19 0 463788 9332 0 Ssl 0.0 0.0 00:00:00 gnome-session-s
1784 yh 19 0 6467384 684972 0 Ssl 1.9 4.1 00:34:37 gnome-shell
1817 yh 19 0 381176 6576 0 Ssl 0.0 0.0 00:00:00 at-spi-bus-laun
1824 yh 19 0 8348 4276 0 S 0.0 0.0 00:00:00 dbus-daemon
1826 yh 19 0 168772 6448 0 Sl 0.0 0.0 00:00:00 at-spi2-registr
1832 yh 19 0 165380 5484 0 Ssl 0.0 0.0 00:00:00 dconf-service
1848 yh 19 0 311868 6376 0 Ssl 0.0 0.0 00:00:00 xdg-permission-
1850 yh 19 0 661720 18868 0 Sl 0.0 0.1 00:00:00 gnome-shell-cal
1863 yh 19 0 1435152 60396 0 Ssl 0.0 0.3 00:00:00 evolution-sourc
1871 yh 19 0 2734868 30936 0 Sl 0.0 0.1 00:00:00 gjs
1879 yh 19 0 250512 8116 0 Ssl 0.0 0.0 00:00:00 gsd-a11y-settin
1903 yh 19 0 248288 7944 0 Ssl 0.0 0.0 00:00:00 gsd-color
1904 yh 19 0 257284 9668 0 Ssl 0.0 0.0 00:00:00 gsd-datetime
1909 yh 19 0 387140 8812 0 Ssl 0.0 0.0 00:00:01 gsd-housekeepin
1910 yh 19 0 385276 7096 0 Ssl 0.0 0.0 00:00:00 gsd-keyboard
1912 yh 19 0 621936 11884 0 Ssl 0.0 0.0 00:00:00 gsd-media-keys
1918 yh 19 0 463904 9188 0 Ssl 0.0 0.0 00:00:00 gsd-power
1919 yh 19 0 1100232 86608 0 Sl 0.0 0.5 00:00:00 evolution-alarm
1920 yh 19 0 323868 11132 0 Ssl 0.0 0.0 00:00:00 gsd-print-notif
1927 yh 19 0 459100 7048 0 Ssl 0.0 0.0 00:00:00 gsd-rfkill
1928 yh 19 0 909172 71740 0 Sl 0.4 0.4 00:07:13 kdeconnectd
1934 yh 19 0 172000 6384 0 Ssl 0.0 0.0 00:00:00 gsd-screensaver
1936 yh 19 0 404280 11948 0 Ssl 0.0 0.0 00:00:00 gsd-sharing
1939 yh 19 0 398068 12924 0 Ssl 0.0 0.0 00:00:00 gsd-smartcard
1940 yh 19 0 256708 9104 0 Ssl 0.0 0.0 00:00:00 gsd-sound
1943 yh 19 0 612884 64496 0 Sl 0.0 0.3 00:00:00 blueman-applet
1968 yh 19 0 306276 6584 0 Sl 0.0 0.0 00:00:00 gsd-disk-utilit
